DIPLOMA_DI_LAUREA_DL;RIFERIMENTO_NORMATIVO;ID_DM509;LAUREA_SPECIALISTICA_DM509;ID_DM270;LAUREA_MAGISTRALE_DM270
Architettura;Tabella XXX del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 24.2.1993, in G.U.n.153 del 2.7.1993;3/S;Architettura del paesaggio;LM-3;Architettura del paesaggio
Architettura;Tabella XXX del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 24.2.1993, in G.U.n.153 del 2.7.1993;4/S;Architettura e ingegneria edile;LM-4;Architettura e ingegneria edile- architettura
Astronomia;Tabella XXII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 5.6.1995 in G.U. n. 267 del 15.11.1995 e D.M. 19.7.1996 in G.U. n. 226 del 26.9.1996;20/S;Fisica;LM-17;Fisica
Astronomia;Tabella XXII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 5.6.1995 in G.U. n. 267 del 15.11.1995 e D.M. 19.7.1996 in G.U. n. 226 del 26.9.1996;66/S;Scienze dell’universo;LM-58;Scienze dell'universo
Biotecnologie agro-industriali;Tabella XXXVIII del regio decreto 30.9.1938 n.1652, aggiunta dal D.M. 23.11.1991, in G.U. n. 109 del 12.5.1992;7/S;Biotecnologie agrarie;LM-7;Biotecnologie agrarie
Biotecnologie agro-industriali;Tabella XXXVIII del regio decreto 30.9.1938 n.1652, aggiunta dal D.M. 23.11.1991, in G.U. n. 109 del 12.5.1992;8/S;Biotecnologie industriali;LM-8;Biotecnologie industriali
Biotecnologie indirizzo Biotecnologie agrarie vegetali;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;7/S;Biotecnologie agrarie;LM-7;Biotecnologie agrarie
Biotecnologie indirizzo Biotecnologie farmaceutiche;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;9/S;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche
Biotecnologie indirizzo Biotecnologie industriali;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;8/S;Biotecnologie industriali;LM-8;Biotecnologie industriali
Biotecnologie indirizzo Biotecnologie mediche;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;9/S;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche
Biotecnologie indirizzo Biotecnologie veterinarie;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;9/S;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche
Chimica;Tabella XIX del regio decreto 30.9.1938 n.1652 come modificata dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995;62/S;Scienze chimiche;LM-54;Scienze chimiche
Chimica e Tecnologie Farmaceutiche o Chimica e tecnologia farmaceutiche;Tabella XXVII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 30.6.1995 in G.U. n. 41 del 19.2.1996;14/S;Farmacia e farmacia industriale;LM-13;Farmacia e farmacia industriale
Chimica Industriale;Tabella XX del regio decreto 30.9.1938 n.1652 come modificato dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995 e D.M. 16.2.1996 in G.U. n. 88 del 15.4.1996.;81/S;Scienze e tecnologie della chimica industriale;LM-71;Scienze e tecnologie della chimica industriale
Comunicazione Internazionale;Università per stranieri Perugia - Decreto Rett. n. 18 del 4.2.2000;43/S;Lingue straniere per la comunicazione internazionale;LM-38;Lingue moderne per la comunicazione e la cooperazione
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;1/S;Antropologia culturale ed etnologia;LM-1;Antropologia culturale ed etnologia
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;2/S;Archeologia;LM-2;Archeologia
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;5/S;Archivistica e biblioteconomia;LM-5;Archivistica e biblioteconomia
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;10/S;Conservazione dei beni architettonici e ambientali;LM-10;Conservazione dei beni architettonici e ambientali
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;11/S;Conservazione dei beni scientifici e della civiltà industriale;LM-11;Conservazione e restauro dei beni culturali
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;12/S;Conservazione e restauro del patrimonio storico-artistico;LM-11;Conservazione e restauro dei beni culturali
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;24/S;Informatica per le discipline umanistiche;LM-43;Metodologie informatiche per le discipline umanistiche
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;51/S;Musicologia e beni musicali;LM-45;Musicologia e beni culturali
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;95/S;Storia dell’arte;LM-89;Storia dell'arte
Discipline delle arti, della musica e dello spettacolo;Tab. XVI-bis del regio decreto 30.9.1938 n.1652, aggiunta dal D.M. 30.4.1996 in G.U. n.168 del 19.7.1996;24/S;Informatica per le discipline umanistiche;LM-43;Metodologie informatiche per le discipline umanistiche
Discipline delle arti, della musica e dello spettacolo;Tab. XVI-bis del regio decreto 30.9.1938 n.1652, aggiunta dal D.M. 30.4.1996 in G.U. n.168 del 19.7.1996;51/S;Musicologia e beni musicali;LM-45;Musicologia e beni culturali
Discipline delle arti, della musica e dello spettacolo;Tab. XVI-bis del regio decreto 30.9.1938 n.1652, aggiunta dal D.M. 30.4.1996 in G.U. n.168 del 19.7.1996;73/S;Scienze dello spettacolo e della produzione multimediale;LM-65;Scienze dello spettacolo e produzione multimediale
Discipline delle arti, della musica e dello spettacolo;Tab. XVI-bis del regio decreto 30.9.1938 n.1652, aggiunta dal D.M. 30.4.1996 in G.U. n.168 del 19.7.1996;95/S;Storia dell’arte;LM-89;Storia dell'arte
Discipline economiche e sociali;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Disegno industriale;Tabella XXX del regio decreto 30.9.1938 n.1652 come modificata ed integrata dal D.M. 24.2.1993, in G.U.n.153 del 2.7.1993;103/S;Teorie e metodi del disegno industriale;LM-12;Design
Economia ambientale;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Economia ambientale;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;83/S;Scienze economiche per l’ambiente e la cultura;LM-76;Scienze economiche per l'ambiente e la cultura
Economia assicurativa e previdenziale;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n.;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia aziendale;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia bancaria;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia bancaria, finanziaria e assicurativa;Macerata - E' adottato l’ordinamento di Economia Bancaria;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia del commercio internazionale e dei mercati valutari;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Economia del turismo;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Economia del turismo;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia delle amministrazioni pubbliche e delle istituzioni internazionali;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Economia delle amministrazioni pubbliche e delle istituzioni internazionali;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia delle istituzioni e dei mercati finanziari;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Economia delle istituzioni e dei mercati finanziari;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;19/S;Finanza;LM-16;Finanza
Economia e commercio;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Economia e commercio;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia e finanza;Parma - Decreto Rettorale 31.7.1998 su GU 234 del 7.10.1998;19/S;Finanza;LM-16;Finanza
Economia e finanza;Parma - Decreto Rettorale 31.7.1998 su GU 234 del 7.10.1998;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia e gestione dei servizi;Modena e Reggio Emilia (Reggio Emilia) - Decreto Rett. del 30.7.1998 in Suppl. G.U. n. 208/1998;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia e legislazione per l’impresa;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia industriale;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Economia industriale;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia marittima e dei trasporti;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia per le arti, la cultura e la comunicazione;Milano Bocconi - Decreto Rett. n. 4818 del 23.7.1999;83/S;Scienze economiche per l’ambiente e la cultura;LM-76;Scienze economiche per l'ambiente e la cultura
Economia per le arti, la cultura e la comunicazione;Milano Bocconi - Decreto Rett. n. 4818 del 23.7.1999;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Economia politica;Tabella VIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 27.10.1992 in G.U. n. 18 del 23.1.1993 e DM 26.2.1996 in G.U. n. 97 del 26.4.1996;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Farmacia;Tabella XXVII del regio decreto 30.9.1938 n.1652 come modificata dal DM 30.6.1995 in G.U. n. 41 del 19.2.1996;14/S;Farmacia e farmacia industriale;LM-13;Farmacia e farmacia industriale
Filologia e storia dell'Europa Orientale;Napoli Orientale - D.P.R. 16.4.1973 n. 543 in G.U. n. 240 del 17.9.1973;42/S;Lingue e letterature moderne euroamericane;LM-37;Lingue e letterature moderne europee e americane
Filologie, storia e cultura dei paesi islamici;Napoli Orientale - Decreto Rett.31.10.1997 su G.U. 263 del 11.11.1997;41/S;Lingue e letterature afroasiatiche;LM-36;Lingue e letterature dell'Africa e dell'Asia
Filosofia;Tabella XIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 6.7.1995 in G.U. n. 270 del 18.11.1995 e D.M. 7.3.1997 in G.U. n. 104 del 7.5.1997;17/S;Filosofia e storia della scienza;LM-78;Scienze filosofiche
Filosofia;Tabella XIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 6.7.1995 in G.U. n. 270 del 18.11.1995 e D.M. 7.3.1997 in G.U. n. 104 del 7.5.1997;18/S;Filosofia teoretica, morale, politica ed estetica;LM-78;Scienze filosofiche
Filosofia;Tabella XIII del regio decreto 30.9.1938 n.1652 come modificata dal DM 6.7.1995 in G.U. n. 270 del 18.11.1995 e D.M. 7.3.1997 in G.U. n. 104 del 7.5.1997;96/S;Storia della filosofia;LM-78;Scienze filosofiche
Fisica;Tabella XXI del regio decreto 30.9.1938 n.1652 come modificata dal DM 23.2.1994 in G.U. n. 147 del 25.6.1994;20/S;Fisica;LM-17;Fisica
Fisica;Tabella XXI del regio decreto 30.9.1938 n.1652 come modificata dal DM 23.2.1994 in G.U. n. 147 del 25.6.1994;50/S;Modellistica matematico-fisica per l'ingegneria;LM-44;Modellistica matematico-fisica per l'ingegneria
Fisica;Tabella XXI del regio decreto 30.9.1938 n.1652 come modificata dal DM 23.2.1994 in G.U. n. 147 del 25.6.1994;66/S;Scienze dell’universo;LM-58;Scienze dell'universo
Geografia;Tabella XXXIV del regio decreto 30.9.1938 n.1652 come modificata dal DM 29.12.1992 in G.U. n.170 del 22.7.1993;21/S;Geografia;LM-80;Scienze geografiche
Giurisprudenza;Tabella III del regio decreto 30.9.1938 n.1652 come modificata dal DM 11.2.1994 in G.U. n. 148 del 27.6.1994, DM 31.5.1995 in G.U. n. 266 del 14.11.1995 e D.M. 8.8.1996 in G.U. n. 236 del 8.10.1996;22/S;Giurisprudenza;LMG/01;Giurisprudenza
Giurisprudenza;Tabella III del regio decreto 30.9.1938 n.1652 come modificata dal DM 11.2.1994 in G.U. n. 148 del 27.6.1994, DM 31.5.1995 in G.U. n. 266 del 14.11.1995 e D.M. 8.8.1996 in G.U. n. 236 del 8.10.1996;102/S;Teoria e tecniche della normazione e dell'informazione giuridica;LMG/01;Giurisprudenza
Informatica;Tab. XXVI-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 30.10.1992 in G.U. n.59 del 12.3.1993;23/S;Informatica;LM-18;Informatica
Informatica;Tab. XXVI-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 30.10.1992 in G.U. n.59 del 12.3.1993;23/S;Informatica;LM-66;Sicurezza informatica
Informatica;Tab. XXVI-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 30.10.1992 in G.U. n.59 del 12.3.1993;100/S;Tecniche e metodi per la società dell'informazione;LM-91;Tecniche e metodi per la società dell'informazione
Ingegneria aerospaziale;Tabella XXIX del regio decreto 30.9.1938 n.1652 come modificata dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995;25/S;Ingegneria aerospaziale e astronautica;LM-20;Ingegneria aerospaziale e astronautica
Ingegneria biomedica;Tabella XXIX del regio decreto;26/S;Ingegneria biomedica;LM-21;Ingegneria biomedica
Ingegneria chimica;Tabella XXIX del regio decreto 30.9.1938 n.1652 come modificata dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995;27/S;Ingegneria chimica;LM-22;Ingegneria chimica
Ingegneria chimica;Tabella XXIX del regio decreto 30.9.1938 n.1652 come modificata dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995;27/S;Ingegneria chimica;LM-26;Ingegneria della sicurezza
Ingegneria civile;Tabella XXIX del regio decreto 30.9.1938 n.1652 come modificata dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995;28/S;Ingegneria civile;LM-23;Ingegneria civile
Ingegneria civile;Tabella XXIX del regio decreto 30.9.1938 n.1652 come modificata dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995;28/S;Ingegneria civile;LM-24;Ingegneria dei sistemi edilizi
