DIPLOMA_DI_LAUREA_DL;RIFERIMENTO_NORMATIVO;ID_DM509;LAUREA_SPECIALISTICA_DM509;ID_DM270;LAUREA_MAGISTRALE_DM270
Scienze agrarie tropicali e subtropicali;Tab. XXXII-bis del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. 5.4.1989 in G.U. n. 214 del 13.9.1989 e dal DM 8.8.96 in G.U. n.262 del 8.11.96;77/S;Scienze e tecnologie agrarie;LM-69;Scienze e tecnologie agrarie
Scienze ambientali;Tab. XXXV del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 19.7.1996 in G.U.n.256 del 31.10.1996;82/S;Scienze e tecnologie per l'ambiente e il territorio;LM-75;Scienze e tecnologie per l'ambiente e il territorio
Scienze biologiche;Tabella XXV del regio decreto 30.9.1938 n.1652 come modificata dal DM 26.5.1995 in G.U. n. 266 del 14.11.1995;6/S;Biologia;LM-6;Biologia
Scienze biologiche;Tabella XXV del regio decreto 30.9.1938 n.1652 come modificata dal DM 26.5.1995 in G.U. n. 266 del 14.11.1995;69/S;Scienze della nutrizione umana;LM-61;Scienze della nutrizione umana
Scienze dell’amministrazione;Tab. III-bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.M. 31.5.1995 in G.U. n.268 del 16.11.1995;71/S;Scienze delle pubbliche amministrazioni;LM-63;Scienze delle pubbliche amministrazioni
Scienze dell’educazione;Tabella XV del regio decreto 30.9.1938 n.1652 come modificata dal DM 17.5.1996 in G.U. n. 150 del 28.6.1996, dal D.M. 4.11.1996 in G.U. n.28 del 4.2.1997 e dal D.M. 5.2.1997 in G.U. n. 74 del 29.3.1997;56/S;Programmazione e gestione dei servizi educativi e formativi;LM-50;Programmazione e gestione dei servizi educativi
Scienze dell’educazione;Tabella XV del regio decreto 30.9.1938 n.1652 come modificata dal DM 17.5.1996 in G.U. n. 150 del 28.6.1996, dal D.M. 4.11.1996 in G.U. n.28 del 4.2.1997 e dal D.M. 5.2.1997 in G.U. n. 74 del 29.3.1997;65/S;Scienze dell'educazione degli adulti e della formazione continua;LM-57;Scienze dell'educazione degli adulti e della formazione continua
Scienze dell’educazione;Tabella XV del regio decreto 30.9.1938 n.1652 come modificata dal DM 17.5.1996 in G.U. n. 150 del 28.6.1996, dal D.M. 4.11.1996 in G.U. n.28 del 4.2.1997 e dal D.M. 5.2.1997 in G.U. n. 74 del 29.3.1997;87/S;Scienze pedagogiche;LM-85;Scienze pedagogiche
Scienze dell’educazione;Tabella XV del regio decreto 30.9.1938 n.1652 come modificata dal DM 17.5.1996 in G.U. n. 150 del 28.6.1996, dal D.M. 4.11.1996 in G.U. n.28 del 4.2.1997 e dal D.M. 5.2.1997 in G.U. n. 74 del 29.3.1997;87/S;Scienze pedagogiche;LM-93;Teorie e metodologie dell'e-learning e della media education
Scienze dell’informazione;Tab. XXVI-bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 24 28.1.1969;23/S;Informatica;LM-18;Informatica
Scienze dell’informazione;Tab. XXVI-bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 24 28.1.1969;23/S;Informatica;LM-66;Sicurezza informatica
Scienze dell’informazione;Tab. XXVI-bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 24 28.1.1969;100/S;Tecniche e metodi per la società dell'informazione;LM-91;Tecniche e metodi per la società dell'informazione
Scienze della comunicazione;Tabella XL del regio decreto 30.9.1938 n.1652 come modificata dal DM 31.10.1991 in G.U. n. 139 del 15.6.1992, dal D.M. 21.4.1993 in G.U. n. 177 del 30.7.1993 e dal DM 11.4.1996 in G.U. n. 140 del 17.6.1996;13/S;Editoria, comunicazione multimediale e giornalismo;LM-19;Informazione e sistemi editoriali
Scienze della comunicazione;Tabella XL del regio decreto 30.9.1938 n.1652 come modificata dal DM 31.10.1991 in G.U. n. 139 del 15.6.1992, dal D.M. 21.4.1993 in G.U. n. 177 del 30.7.1993 e dal DM 11.4.1996 in G.U. n. 140 del 17.6.1996;59/S;Pubblicità e comunicazione d'impresa;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità
Scienze della comunicazione;Tabella XL del regio decreto 30.9.1938 n.1652 come modificata dal DM 31.10.1991 in G.U. n. 139 del 15.6.1992, dal D.M. 21.4.1993 in G.U. n. 177 del 30.7.1993 e dal DM 11.4.1996 in G.U. n. 140 del 17.6.1996;67/S;Scienze della comunicazione sociale e istituzionale;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità
Scienze della comunicazione;Tabella XL del regio decreto 30.9.1938 n.1652 come modificata dal DM 31.10.1991 in G.U. n. 139 del 15.6.1992, dal D.M. 21.4.1993 in G.U. n. 177 del 30.7.1993 e dal DM 11.4.1996 in G.U. n. 140 del 17.6.1996;100/S;Tecniche e metodi per la società dell'informazione;LM-91;Tecniche e metodi per la società dell'informazione
Scienze della comunicazione;Tabella XL del regio decreto 30.9.1938 n.1652 come modificata dal DM 31.10.1991 in G.U. n. 139 del 15.6.1992, dal D.M. 21.4.1993 in G.U. n. 177 del 30.7.1993 e dal DM 11.4.1996 in G.U. n. 140 del 17.6.1996;101/S;Teoria della comunicazione;LM-92;Teorie della comunicazione
Scienze della comunicazione;Tabella XL del regio decreto 30.9.1938 n.1652 come modificata dal DM 31.10.1991 in G.U. n. 139 del 15.6.1992, dal D.M. 21.4.1993 in G.U. n. 177 del 30.7.1993 e dal DM 11.4.1996 in G.U. n. 140 del 17.6.1996;101/S;Teoria della comunicazione;LM-93;Teorie e metodologie dell'e-learning e della media education
Scienze della cultura;Modena e Reggio Emilia - Decreto Rett. del 30.7.1998 in G.U. n. 208 del 7.9.1998;1/S;Antropologia culturale ed etnologia;LM-1;Antropologia culturale ed etnologia
Scienze della produzione animale Scienze delle produzioni animali;Tab. XXXI-ter del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 994 del 19.7.1986 in G.U. n. 31 del 7.2.1987e modificata dal D.P.R. n. 585 del 30.10.1987 in G.U. n. 70 del 24.3.1988;79/S;Scienze e tecnologie agrozootecniche;LM-86;Scienze zootecniche e tecnologie animali
Scienze della programmazione sanitaria;Università di Modena e Reggio Emilia – Decreto Rett. n. 501 del 30.7.1998;84/S;Scienze economico-aziendali;LM-77;Scienze economico-aziendali
Scienze e tecniche dell’interculturalità;Palermo, Trieste - Decreto Rett. 31.7.1998 su G.U. 203 del 1.9.1998;57/S;Programmazione e gestione delle politiche e dei servizi sociali;LM-87;Servizio sociale e politiche sociali
Scienze e tecniche dell’interculturalità;Palermo, Trieste - Decreto Rett. 31.7.1998 su G.U. 203 del 1.9.1998;43/S;Lingue straniere per la comunicazione internazionale;LM-38;Lingue moderne per la comunicazione e la cooperazione
Scienze e tecnologie agrarie;Tabella XXXI del regio decreto 30.9.1938 n.1652 come modificata dal DM 10.12.1993 in G.U. n. 143 del 21.6.1994 e D.M. 29.9.1994 su G.U.184 del 8.8.1995;77/S;Scienze e tecnologie agrarie;LM-69;Scienze e tecnologie agrarie
Scienze e tecnologie agrarie;Tabella XXXI del regio decreto 30.9.1938 n.1652 come modificata dal DM 10.12.1993 in G.U. n. 143 del 21.6.1994 e D.M. 29.9.1994 su G.U.184 del 8.8.1995;79/S;Scienze e tecnologie agrozootecniche;LM-86;Scienze zootecniche e tecnologie animali
Scienze e tecnologie alimentari;Tabella XXXI-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 10.12.1993 in G.U. n. 143 del 21.6.1994;78/S;Scienze e tecnologie agroalimentari;LM-70;Scienze e tecnologie alimentari
Scienze e tecnologie delle produzioni animali;Tab. XXXI-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 8.8.1996 in G.U. n. 236 dell'8.10.1996;79/S;Scienze e tecnologie agrozootecniche;LM-86;Scienze zootecniche e tecnologie animali
Scienze economiche, statistiche e sociali;Milano Bocconi - Decreto Rett. n. 4818 del 23.7.1999;64/S;Scienze dell’economia;LM-56;Scienze dell'economia
Scienze economiche, statistiche e sociali;Milano Bocconi - Decreto Rett. n. 4818 del 23.7.1999;91/S;Statistica economica, finanziaria ed attuariale;LM-82;Scienze statistiche
Scienze forestali Scienze forestali e ambientali;Tabella XXXII del regio decreto 30.9.1938 n.1652 come modificata dal DM 10.12.1993 in G.U. n. 143 del 21.6.1994;74/S;Scienze e gestione delle risorse rurali e forestali;LM-73;Scienze e tecnologie forestali ed ambientali
Scienze geologiche;Tabella XXVI del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. 4.5.1989 in G.U. n. 230 del 2.10.1989;86/S;Scienze geologiche;LM-74;Scienze e tecnologie geologiche LM-79 Scienze geofisiche
Scienze geologiche;Tabella XXVI del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. 4.5.1989 in G.U. n. 230 del 2.10.1989;85/S;Scienze geofisiche;LM-74;Scienze e tecnologie geologiche LM-79 Scienze geofisiche
Scienze internazionali e diplomatiche;Tab. XXXVI del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 10.10.1995 in G.U. n. 54 del 5.3.1996 e dal D.M. 11.4.1996 in G.U. n. 138 del 14.6.1996;60/S;Relazioni internazionali;LM-52;Relazioni internazionali
Scienze internazionali e diplomatiche;Tab. XXXVI del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 10.10.1995 in G.U. n. 54 del 5.3.1996 e dal D.M. 11.4.1996 in G.U. n. 138 del 14.6.1996;88/S;Scienze per la cooperazione allo sviluppo;LM-81;Scienze per la cooperazione allo sviluppo
Scienze internazionali e diplomatiche;Tab. XXXVI del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 10.10.1995 in G.U. n. 54 del 5.3.1996 e dal D.M. 11.4.1996 in G.U. n. 138 del 14.6.1996;99/S;Studi europei;LM-90;Studi europei
Scienze motorie;D. Lgs. 8.5.1998 n.178 in G.U. n. 131 dell'8.6.1998;53/S;Organizzazione e gestione dei servizi per lo sport e le attività motorie;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie
Scienze motorie;D. Lgs. 8.5.1998 n.178 in G.U. n. 131 dell'8.6.1998;75/S;Scienze e tecnica dello sport;LM-68;Scienze e tecniche dello sport
Scienze motorie;D. Lgs. 8.5.1998 n.178 in G.U. n. 131 dell'8.6.1998;76/S;Scienze e tecniche delle attività motorie preventive e adattative;LM-67;Scienze e tecniche delle attività motorie preventive e adattative
Scienze naturali;Tab. XXIV del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 8.8.1996 in G.U. n.261 del 7.11.1996;68/S;Scienze della natura;LM-60;Scienze della natura
Scienze nautiche;"Napoli Parthenope (Napoli Navale) - Decreto Rett. n. 3909 del 27.10.1997 in G.U. n. 268 del 17.11.1997";80/S;Scienze e tecnologie dei sistemi di navigazione;LM-72;Scienze e tecnologie della navigazione
Scienze politiche;Tabella IV del regio decreto 30.9.1938 n.1652 come modificata dal DM 4.11.1995 in G.U. n. 13 del 17.1.1996;57/S;Programmazione e gestione delle politiche e dei servizi sociali;LM-87;Servizio sociale e politiche sociali
Scienze politiche;Tabella IV del regio decreto 30.9.1938 n.1652 come modificata dal DM 4.11.1995 in G.U. n. 13 del 17.1.1996;60/S;Relazioni internazionali;LM-52;Relazioni internazionali
Scienze politiche;Tabella IV del regio decreto 30.9.1938 n.1652 come modificata dal DM 4.11.1995 in G.U. n. 13 del 17.1.1996;64/S;Scienze dell’economia;LM-56;Scienze dell’economia
Scienze politiche;Tabella IV del regio decreto 30.9.1938 n.1652 come modificata dal DM 4.11.1995 in G.U. n. 13 del 17.1.1996;70/S;Scienze della politica;LM-62;Scienze della politica
Scienze politiche;Tabella IV del regio decreto 30.9.1938 n.1652 come modificata dal DM 4.11.1995 in G.U. n. 13 del 17.1.1996;71/S;Scienze delle pubbliche amministrazioni;LM-63;Scienze delle pubbliche amministrazioni
Scienze politiche;Tabella IV del regio decreto 30.9.1938 n.1652 come modificata dal DM 4.11.1995 in G.U. n. 13 del 17.1.1996;88/S;Scienze per la cooperazione allo sviluppo;LM-81;Scienze per la cooperazione allo sviluppo
Scienze politiche;Tabella IV del regio decreto 30.9.1938 n.1652 come modificata dal DM 4.11.1995 in G.U. n. 13 del 17.1.1996;89/S;Sociologia;LM-88;Sociologia e ricerca sociale
Scienze politiche;Tabella IV del regio decreto 30.9.1938 n.1652 come modificata dal DM 4.11.1995 in G.U. n. 13 del 17.1.1996;99/S;Studi europei;LM-90;Studi europei
Scienze statistiche demografiche e sociali;Tabella V del regio decreto 30.9.1938 n.1652 come modificata dal DM 21.10.1992 in G.U. n. 24 del 30.1.93 e dal D.M. 7.11.1995 in G.U. n. 34 del 10.2.1996;90/S;Statistica demografica e sociale;LM-82;Scienze statistiche
Scienze statistiche ed attuariali;Tabella V del regio decreto 30.9.1938 n.1652 come modificata dal DM 21.10.1992 in G.U. n. 24 del 30.1.93 e dal D.M. 7.11.1995 in G.U. n. 34 del 10.2.1996;91/S;Statistica economica, finanziaria ed attuariale;LM-16;Finanza LM-82 Scienze statistiche LM-83 Scienze statistiche attuariali e finanziarie
Scienze statistiche ed economiche;Tabella V del regio decreto 30.9.1938 n.1652 come modificata dal DM 21.10.1992 in G.U. n. 24 del 30.1.93 e dal D.M. 7.11.1995 in G.U. n. 34 del 10.2.1996;91/S;Statistica economica, finanziaria ed attuariale;LM-82;Scienze statistiche LM-83 Scienze statistiche attuariali e finanziarie
Scienze turistiche;Milano IULM - Decreto Rett. n. 10602 del 28.10.1998;55/S;Progettazione e gestione dei sistemi turistici;LM-49;Progettazione e gestione dei sistemi turistici
Servizio sociale;Roma LUMSA, Trieste - Decreto Rett. 17.12.1998 su G.U. del 3 del 5.1.1999;57/S;Programmazione e gestione delle politiche e dei servizi sociali;LM-87;Servizio sociale e politiche sociali
Sociologia;Tabella IV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 6.2.1991 in G.U. 87 del 13.4.1991 e dal D.M. 14.5.1997 in G.U. n. 228 del 30.9.97;89/S;Sociologia;LM-88;Sociologia e ricerca sociale
Sociologia;Tabella IV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 6.2.1991 in G.U. 87 del 13.4.1991 e dal D.M. 14.5.1997 in G.U. n. 228 del 30.9.97;49/S;Metodi per la ricerca empirica nelle scienze sociali;LM-88;Sociologia e ricerca sociale
Statistica;Tabella V del regio decreto 30.9.1938 n.1652 come modificata dal DM 21.10.1992 in G.U. n. 24 del 30.1.93 e dal D.M. 7.11.1995 in G.U. n. 34 del 10.2.1996;48/S;Metodi per l'analisi valutativa dei sistemi complessi 92/S;Statistica per la ricerca sperimentale;LM-82;Scienze statistiche
Statistica e informatica per l’azienda;Tabella V del regio decreto 30.9.1938 n.1652 come modificata dal DM 21.10.1992 in G.U. n. 24 del 30.1.93 e dal D.M. 7.11.1995 in G.U. n. 34 del 10.2.1996;92/S;Statistica per la ricerca sperimentale;LM-82;Scienze statistiche
Storia;Tabella XXXIII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 18.3.1996 in G.U. n. 98 del 27.4.1996;93/S;Storia antica;LM-84;Scienze storiche
Storia;Tabella XXXIII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 18.3.1996 in G.U. n. 98 del 27.4.1996;94/S;Storia contemporanea;LM-84;Scienze storiche
Storia;Tabella XXXIII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 18.3.1996 in G.U. n. 98 del 27.4.1996;97/S;Storia medievale;LM-84;Scienze storiche
Storia;Tabella XXXIII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 18.3.1996 in G.U. n. 98 del 27.4.1996;98/S;Storia moderna;LM-84;Scienze storiche
Storia e conservazione dei beni architettonici e ambientali;Tabella XXX del regio decreto 30.9.1938 n.1652 come modificata ed integrata dal D.M. 19.7.1993 in G.U. n. 261 del 6.11.1993;10/S;Conservazione dei beni architettonici e ambientali;LM-10;Conservazione dei beni architettonici e ambientali
Storia e conservazione dei beni culturali;Macerata - Decreto Rett. n. 33 del 15.11.1997;1/S;Antropologia culturale ed etnologia;LM-1;Antropologia culturale ed etnologia
Storia e conservazione dei beni culturali;Macerata - Decreto Rett. n. 33 del 15.11.1997;2/S;Archeologia;LM-2;Archeologia
Storia e conservazione dei beni culturali;Macerata - Decreto Rett. n. 33 del 15.11.1997;5/S;Archivistica e biblioteconomia;LM-5;Archivistica e biblioteconomia
Storia e conservazione dei beni culturali;Macerata - Decreto Rett. n. 33 del 15.11.1997;12/S;Conservazione e restauro del patrimonio storico-artistico;LM-11;Conservazione e restauro dei beni culturali
Storia e conservazione dei beni culturali;Macerata - Decreto Rett. n. 33 del 15.11.1997;24/S;Informatica per le discipline umanistiche;LM-43;Metodologie informatiche per le discipline umanistiche
Storia e conservazione dei beni culturali;Macerata - Decreto Rett. n. 33 del 15.11.1997;95/S;Storia dell'arte;LM-89;Storia dell'arte
Studi comparatistici;Catania (Ragusa), Napoli Orientale - Decreto Rett. n. 1195 del 6.8.1997;41/S;Lingue e letterature afroasiatiche;LM-36;Lingue e letterature dell'Africa e dell'Asia
Studi comparatistici;Catania (Ragusa), Napoli Orientale - Decreto Rett. n. 1195 del 6.8.1997;42/S;Lingue e letterature moderne euroamericane;LM-37;Lingue e letterature moderne europee e americane
Traduzione ed interpretazione;Tabella IX-quinquies del regio decreto 30.9.1938 n.1652 aggiunta dal D.M. 2.10.1995 in G.U. n. 101 del 2.5.1996;39/S;Interpretariato di conferenza;LM-94;Traduzione specialistica e interpretariato
Traduzione ed interpretazione;Tabella IX-quinquies del regio decreto 30.9.1938 n.1652 aggiunta dal D.M. 2.10.1995 in G.U. n. 101 del 2.5.1996;104/S;Traduzione letteraria e in traduzione tecnico-scientifica;LM-94;Traduzione specialistica e interpretariato
Urbanistica;Tab. XXX bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 1009 del 14.10.1970;54/S;Pianificazione territoriale urbanistica e ambientale;LM-48;Pianificazione territoriale urbanistica e ambientale
Urbanistica;Tab. XXX bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 1009 del 14.10.1970;SNT/01/S;Scienze infermieritiche e ostetriche;LM/SNT1;Scienze infermieritiche e ostetriche
Urbanistica;Tab. XXX bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 1009 del 14.10.1970;SNT/02/S;Scienze delle professioni sanitarie della riabilitazione;LM/SNT2;Scienze riabilitive delle professioni sanitarie
Urbanistica;Tab. XXX bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 1009 del 14.10.1970;SNT/03/S;Scienze delle professioni sanitarie tecniche;LM/SNT3;Scienze delle professioni sanitarie tecniche
Urbanistica;Tab. XXX bis del regio decreto 30.9.1938 n.1652 aggiunta dal D.P.R. n. 1009 del 14.10.1970;SNT/04/S;Scienze delle professioni sanitarie della prevenzione;LM/SNT4;Scienze delle professioni sanitarie della prevenzione
